iter	Passed	Remaining
0	210	105033
1	211	52680
2	223	36994
3	229	28473
4	240	23825
5	252	20771
6	262	18471
7	272	16762
8	282	15427
9	295	14472
10	307	13650
11	319	12996
12	338	12673
13	347	12077
14	349	11292
15	353	10696
16	363	10329
17	376	10074
18	378	9573
19	379	9108
20	387	8828
21	396	8623
22	409	8487
23	447	8884
24	462	8793
25	474	8643
26	483	8478
27	490	8272
28	499	8119
29	509	7989
30	520	7868
31	529	7740
32	544	7710
33	546	7490
34	557	7407
35	561	7234
36	572	7160
37	589	7162
38	600	7093
39	600	6908
40	611	6842
41	620	6771
42	632	6721
43	646	6701
44	658	6661
45	671	6624
46	682	6578
47	696	6556
48	702	6463
49	705	6352
50	718	6330
51	730	6291
52	738	6227
53	756	6247
54	770	6237
55	776	6154
56	787	6121
57	800	6101
58	822	6144
59	834	6118
60	843	6073
61	857	6060
62	861	5978
63	874	5958
64	884	5921
65	893	5874
66	904	5843
67	910	5785
68	923	5768
69	937	5756
70	940	5682
71	948	5638
72	953	5578
73	972	5599
74	987	5594
75	1000	5583
76	1013	5569
77	1024	5541
78	1036	5522
79	1048	5505
80	1053	5449
81	1069	5453
82	1084	5449
83	1099	5446
84	1119	5466
85	1132	5452
86	1136	5395
87	1144	5357
88	1155	5338
89	1158	5276
90	1168	5252
91	1182	5245
92	1197	5241
93	1226	5298
94	1250	5329
95	1275	5366
96	1296	5386
97	1311	5380
98	1331	5395
99	1349	5399
100	1372	5422
101	1390	5425
102	1407	5426
103	1410	5369
104	1429	5376
105	1446	5377
106	1457	5352
107	1477	5363
108	1496	5366
109	1508	5348
110	1526	5349
111	1545	5355
112	1564	5356
113	1591	5388
114	1610	5393
115	1625	5380
116	1637	5360
117	1651	5346
118	1657	5306
119	1671	5293
120	1684	5275
121	1695	5254
122	1709	5238
123	1723	5227
124	1736	5210
125	1768	5249
126	1790	5257
127	1806	5250
128	1819	5234
129	1832	5214
130	1844	5196
131	1866	5202
132	1888	5212
133	1903	5199
134	1915	5178
135	1929	5164
136	1941	5143
137	1952	5122
138	1963	5099
139	1964	5051
140	1975	5030
141	1988	5013
142	1998	4990
143	2009	4967
144	2019	4943
145	2032	4926
146	2041	4902
147	2051	4879
148	2061	4855
149	2071	4833
150	2082	4812
151	2098	4803
152	2110	4786
153	2121	4766
154	2131	4744
155	2137	4714
156	2147	4692
157	2159	4675
158	2175	4665
159	2187	4647
160	2197	4626
161	2208	4606
162	2218	4586
163	2228	4565
164	2230	4529
165	2240	4507
166	2250	4487
167	2261	4469
168	2274	4454
169	2283	4431
170	2299	4423
171	2314	4413
